Constituency_Number,Constituency_Name,Total_Electors,Total_Votes_Polled,Position,Candidate_Name,Votes,Vote_Percentage,Party
1,Valmikinagar,310504,187399,1,Dhirendra Pratap Singh Alias Rinku Singh,74906,40.0,Janata Dal (United)
1,Valmikinagar,310504,187399,2,Rajesh Singh,53321,28.5,Indian National Congress
1,Valmikinagar,310504,187399,3,Sumant Kumar,18409,9.8,Jan Adhikar Party (Loktantrik)
1,Valmikinagar,310504,187399,4,Baidyanath Prasad,14498,7.7,Bahujan Samaj Party
1,Valmikinagar,310504,187399,5,Mahendra Kumar Bharti,6612,3.5,Lok Jan Shakti Party
1,Valmikinagar,310504,187399,6,Deepak Kumar Malakar,4279,2.3,Bhartiya Party (Loktantrik)
1,Valmikinagar,310504,187399,7,Gaurav Jha,2863,1.5,The Plurals Party
1,Valmikinagar,310504,187399,8,Saket Kumar Pathak,2735,1.5,Jan Sangharsh Dal
1,Valmikinagar,310504,187399,9,Mahmad Jalil,2657,1.4,Independent
1,Valmikinagar,310504,187399,10,Rajesh Kumar,2608,1.4,Independent
1,Valmikinagar,310504,187399,11,Tirthraj Yadav,2515,1.3,Independent
1,Valmikinagar,310504,187399,12,Kumari Rajwanti Kushwaha,1996,1.1,Independent
2,Ramnagar,284441,186157,1,Bhagirathi Devi,75423,40.5,Bharatiya Janta Party
2,Ramnagar,284441,186157,2,Rajesh Ram,59627,32.0,Indian National Congress
2,Ramnagar,284441,186157,3,Subodh Kumar,26063,14.0,Bhartiya Panchyat Party
2,Ramnagar,284441,186157,4,Lorik Das,4331,2.3,Fauji Kisan Party
2,Ramnagar,284441,186157,5,Lokesh Ram,4051,2.2,Rashtriya Lok Samta Party
2,Ramnagar,284441,186157,6,Ramayan Paswan,3793,2.0,Independent
2,Ramnagar,284441,186157,7,Vinay Ram,3215,1.7,Janta Dal Rashtravadi
2,Ramnagar,284441,186157,8,Awadh Kishor Ram,3111,1.7,Independent
2,Ramnagar,284441,186157,9,Ayush Kumar,2671,1.4,Independent
2,Ramnagar,284441,186157,10,Ramnaresh Baitha,2460,1.3,Independent
2,Ramnagar,284441,186157,11,Champa Devi,1412,0.8,The Plurals Party
3,Narkatiaganj,253288,162968,1,Rashmi Varma,75484,46.3,Bharatiya Janta Party
3,Narkatiaganj,253288,162968,2,Vinay Varma,54350,33.4,Indian National Congress
3,Narkatiaganj,253288,162968,3,Renu Devi,7674,4.7,Independent
3,Narkatiaganj,253288,162968,4,Naushad Ahmad,5408,3.3,Lok Jan Shakti Party
3,Narkatiaganj,253288,162968,5,Manjeet Kumar Verma,2913,1.8,Rashtriya Lok Samta Party
3,Narkatiaganj,253288,162968,6,Nathu Ravi,2051,1.3,Independent
3,Narkatiaganj,253288,162968,7,Bablu Kumar Gupta,1805,1.1,Independent
3,Narkatiaganj,253288,162968,8,Anil Kumar Mishra,1429,0.9,Independent
3,Narkatiaganj,253288,162968,9,Mohammad Rashid Azim,1294,0.8,Nationalist Congress Party
3,Narkatiaganj,253288,162968,10,Afsar Imam,1255,0.8,Jan Adhikar Party (Loktantrik)
3,Narkatiaganj,253288,162968,11,Ramchandra Mahto,1148,0.7,Jai Maha Bharath Party
3,Narkatiaganj,253288,162968,12,Gulrez Hoda,1113,0.7,Jan Sangharsh Dal
3,Narkatiaganj,253288,162968,13,Mithlesh Tiwary,1088,0.7,Independent
3,Narkatiaganj,253288,162968,14,Naznim Khanam,998,0.6,Independent
3,Narkatiaganj,253288,162968,15,Vijay Ram,979,0.6,Janta Dal Rashtravadi
3,Narkatiaganj,253288,162968,16,Anup Kumar Mishra,959,0.6,The Plurals Party
3,Narkatiaganj,253288,162968,17,Munna Singh,948,0.6,Fauji Kisan Party
3,Narkatiaganj,253288,162968,18,Rupn Singh,705,0.4,Independent
3,Narkatiaganj,253288,162968,19,Mukesh Kumar,693,0.4,Bharat Jan Jagran Dal
3,Narkatiaganj,253288,162968,20,Avinash Kumar,674,0.4,Bhartiya Sablog Party
4,Bagaha,293070,178343,1,Ram Singh,90013,50.5,Bharatiya Janta Party
4,Bagaha,293070,178343,2,Jayesh Manglam Singh,59993,33.6,Indian National Congress
4,Bagaha,293070,178343,3,Raghaw Sharan Pandey,6429,3.6,Independent
4,Bagaha,293070,178343,4,Purnmasi Ram,3649,2.1,Jan Sangharsh Dal
4,Bagaha,293070,178343,5,Kamran Aziz,3077,1.7,Independent
4,Bagaha,293070,178343,6,Suresh Mukhiya,2600,1.5,Janvadi Party(Socialist)
4,Bagaha,293070,178343,7,Atul Kumar Shukla,2364,1.3,Lok Shakti Party (Loktantrik)
4,Bagaha,293070,178343,8,Umesh Gupta,1622,0.9,Rashtriya Jansambhavna Party
4,Bagaha,293070,178343,9,Manoj Kumar,1446,0.8,Bharat Jan Jagran Dal
4,Bagaha,293070,178343,10,Radheshyam Yadav,1444,0.8,Fauji Kisan Party
4,Bagaha,293070,178343,11,Shesh Nath Chaudhary,1406,0.8,Bhartiya Rashtriya Dal
4,Bagaha,293070,178343,12,Manoj Kumar Rao,1244,0.7,Independent
4,Bagaha,293070,178343,13,Durgesh Singh Chauhan,1162,0.7,Bihar Lok Nirman Dal
4,Bagaha,293070,178343,14,Sita Shah,1032,0.6,The Plurals Party
4,Bagaha,293070,178343,15,Dalsingar Ram,862,0.5,Bahujan Maha Party
5,Lauriya,243604,154127,1,Vinay Bihari,77927,50.6,Bharatiya Janta Party
5,Lauriya,243604,154127,2,Shambhu Tiwari,48923,31.7,Rashtriya Janata Dal
5,Lauriya,243604,154127,3,Ran Kaushal Pratap Singh,17515,11.4,Bahujan Samaj Party
5,Lauriya,243604,154127,4,Neelam Singh,1906,1.2,Independent
5,Lauriya,243604,154127,5,Doctor Mahto,1541,1.0,Independent
5,Lauriya,243604,154127,6,Ajitesh Kumar,1462,1.0,The Plurals Party
5,Lauriya,243604,154127,7,Kamlesh Singh,1394,0.9,Independent
5,Lauriya,243604,154127,8,Sima Devi,1206,0.8,Jan Adhikar Party (Loktantrik)
5,Lauriya,243604,154127,9,Abdul Quyum,1165,0.8,Jan Sangharsh Dal
5,Lauriya,243604,154127,10,Ranjit Kumar,1088,0.7,Janta Dal Rashtravadi
6,Nautan,259926,165638,1,Narayan Prasad,78657,47.5,Bharatiya Janta Party
6,Nautan,259926,165638,2,Sheikh Mohammad Kamran,52761,31.9,Indian National Congress
6,Nautan,259926,165638,3,Manorama Prasad,15421,9.3,Independent
6,Nautan,259926,165638,4,Nandkishor Prasad,4587,2.8,Rashtriya Lok Samta Party
6,Nautan,259926,165638,5,Vikash Kumar Prasad,3967,2.4,Independent
6,Nautan,259926,165638,6,Shubham Kumar Dubey,1824,1.1,Independent
6,Nautan,259926,165638,7,Lalan Rai,1291,0.8,Independent
6,Nautan,259926,165638,8,Jay Prakash Singh Kushwaha,1169,0.7,The Plurals Party
6,Nautan,259926,165638,9,Yadavendra Kumar,1103,0.7,Jan Adhikar Party (Loktantrik)
6,Nautan,259926,165638,10,Priya Ranjan,1089,0.7,Independent
6,Nautan,259926,165638,11,Md. Shahnawaz,952,0.6,Jan Sangharsh Dal
6,Nautan,259926,165638,12,Adarsh Kumar,860,0.5,Independent
6,Nautan,259926,165638,13,Ratan Kumar Sarkar,827,0.5,Independent
6,Nautan,259926,165638,14,Punyadeo Prasad,592,0.4,Jagrook Janta Party
6,Nautan,259926,165638,15,Surendra Choudhary,538,0.3,Janta Dal Rashtravadi
7,Chanpatia,259638,172864,1,Umakant Singh,83828,48.5,Bharatiya Janta Party
7,Chanpatia,259638,172864,2,Abhishek Ranjan,70359,40.7,Indian National Congress
7,Chanpatia,259638,172864,3,Tripurari Kr. Tiwari @ Manish Kasyap,9239,5.3,Independent
7,Chanpatia,259638,172864,4,Santosh Kumar Gupta,3526,2.0,Rashtriya Lok Samta Party
7,Chanpatia,259638,172864,5,Sheshnath Bharti,1375,0.8,Independent
7,Chanpatia,259638,172864,6,Ramayan Yadav,938,0.5,Independent
7,Chanpatia,259638,172864,7,Munna Singh,875,0.5,Independent
7,Chanpatia,259638,172864,8,Ravisagar Bharati,730,0.4,Aazad Samaj Party (Kanshi Ram)
7,Chanpatia,259638,172864,9,Shekh Firoz,690,0.4,Vanchit Samaj Party
7,Chanpatia,259638,172864,10,Om Prakash Jaiswal,346,0.2,Independent
7,Chanpatia,259638,172864,11,Bipin Nath Tiwari Alias Bipin Tiwari,339,0.2,Loktantrik Jan Swaraj Party
7,Chanpatia,259638,172864,12,Sanjay Ram,322,0.2,Proutist Sarva Samaj
7,Chanpatia,259638,172864,13,Rajeev Ranjan,297,0.2,The Plurals Party
8,Bettiah,267228,157915,1,Renu Devi,84496,53.5,Bharatiya Janta Party
8,Bettiah,267228,157915,2,Madan Mohan Tiwari,66417,42.1,Indian National Congress
8,Bettiah,267228,157915,3,Avkash Kumar Gupta,1559,1.0,The Plurals Party
8,Bettiah,267228,157915,4,Parwez Alam,1192,0.8,Nationalist Congress Party
8,Bettiah,267228,157915,5,Sitaram Sahani,1012,0.6,Rashtriya Mahan Gantantra Party
8,Bettiah,267228,157915,6,Sameer Hasen,981,0.6,Independent
8,Bettiah,267228,157915,7,Savita Singh Nepali,677,0.4,Jan Adhikar Party (Loktantrik)
8,Bettiah,267228,157915,8,Nand Lal Prasad,610,0.4,Apna Kisan Party
8,Bettiah,267228,157915,9,Yuvraj Navin Singh,546,0.4,Bhartiya Panchyat Party
8,Bettiah,267228,157915,10,Barkat Ahmad,425,0.3,Jan Sangharsh Dal
9,Sikta,256695,168055,1,Birendra Prasad Gupta,49075,29.2,Communist Party Of India (Marxist-Leninist) (Liberation)
9,Sikta,256695,168055,2,Dilip Varma,46773,27.8,Independent
9,Sikta,256695,168055,3,Khurshid Firoz Ahmad,35798,21.3,Janata Dal (United)
9,Sikta,256695,168055,4,Rijabanullah Alias Rizwan Riyazi,8519,5.1,All India Majlis-E-Ittehadul Muslimeen
9,Sikta,256695,168055,5,Vinay Kumar Yadav,4160,2.5,Independent
9,Sikta,256695,168055,6,Akhileshwar Prasad Alias Jhunu,3312,2.0,Bhartiya Panchyat Party
9,Sikta,256695,168055,7,Wasi Ahmad,2686,1.6,Independent
9,Sikta,256695,168055,8,Hardev Ram,2588,1.5,Independent
9,Sikta,256695,168055,9,Ghausul Azam,2461,1.5,Independent
9,Sikta,256695,168055,10,Rajesh Paswan,2362,1.4,Peoples Party Of India (Democratic)
9,Sikta,256695,168055,11,Tamnna Khatun,2237,1.3,The Plurals Party
9,Sikta,256695,168055,12,Mainuddin Alam,2023,1.2,Nationalist Congress Party
9,Sikta,256695,168055,13,Ramjee Prasad,1746,1.0,Independent
9,Sikta,256695,168055,14,Malkhan Singh,1613,1.0,Janata Congress
9,Sikta,256695,168055,15,Sandeep Patel,1393,0.8,Jan Adhikar Party
9,Sikta,256695,168055,16,Aasma Khatoon,1309,0.8,Jan Sangharsh Dal
10,Raxaul,271068,174799,1,Pramod Kumar Sinha,80979,46.3,Bharatiya Janta Party
10,Raxaul,271068,174799,2,Rambabu Prashad Yadav,44056,25.2,Indian National Congress
10,Raxaul,271068,174799,3,Suresh Kumar,28593,16.4,Independent
10,Raxaul,271068,174799,4,Dr. Ajay Kumar Singh,12267,7.0,Bahujan Samaj Party
10,Raxaul,271068,174799,5,Mustaque Ali,2236,1.3,Independent
10,Raxaul,271068,174799,6,Arbind Prasad Sah,2197,1.3,Independent
10,Raxaul,271068,174799,7,Madan Prasad,960,0.6,Independent
10,Raxaul,271068,174799,8,Umang Kumar Gupta,942,0.5,Jai Maha Bharath Party
10,Raxaul,271068,174799,9,Kundan Kumar,694,0.4,The Plurals Party
10,Raxaul,271068,174799,10,Haider Ali,565,0.3,Janta Dal Rashtravadi
10,Raxaul,271068,174799,11,Devendra Kumar Singh,479,0.3,Rashtra Sewa Dal
10,Raxaul,271068,174799,12,Bhulan Kumar,447,0.3,Independent
10,Raxaul,271068,174799,13,Bablu Kumar,384,0.2,Janata Congress
11,Sugauli,273597,168390,1,Er. Shashi Bhushan Singh,65267,38.8,Rashtriya Janata Dal
11,Sugauli,273597,168390,2,Ramchandra Sahni,61820,36.7,Vikassheel Insaan Party
11,Sugauli,273597,168390,3,Vijay Prasad Gupta,14188,8.4,Lok Jan Shakti Party
11,Sugauli,273597,168390,4,Sant Singh Kushwaha,6710,4.0,Rashtriya Lok Samta Party
11,Sugauli,273597,168390,5,Sadre Alam,3431,2.0,All India Minorities Front
11,Sugauli,273597,168390,6,Vinod Kumar Mahto,2499,1.5,Jago Hindustan Party
11,Sugauli,273597,168390,7,Akhilesh Kumar Mishra,2393,1.4,Independent
11,Sugauli,273597,168390,8,Shekh Alauddin,1973,1.2,Jan Sangharsh Dal
11,Sugauli,273597,168390,9,Shekh Manjar Hussain,1970,1.2,Independent
11,Sugauli,273597,168390,10,Amrit Raj,1854,1.1,Independent
11,Sugauli,273597,168390,11,Vishnu Prasad Gupta,1558,0.9,Independent
11,Sugauli,273597,168390,12,Zulfiquar Aftab,1550,0.9,Janta Dal Rashtravadi
11,Sugauli,273597,168390,13,Asha Devi,1181,0.7,Hindu Samaj Party
11,Sugauli,273597,168390,14,Anita Devi,1079,0.6,Independent
11,Sugauli,273597,168390,15,Mahmad Sohail Sahil,917,0.5,Jan Adhikar Party (Loktantrik)
12,Narkatia,274749,178315,1,Shamim Ahmad,85562,48.0,Rashtriya Janata Dal
12,Narkatia,274749,178315,2,Shyam Bihari Prasad,57771,32.4,Janata Dal (United)
12,Narkatia,274749,178315,3,Sonu Kumar,20494,11.5,Lok Jan Shakti Party
12,Narkatia,274749,178315,4,Suresh Prasad Yadav,6149,3.5,Independent
12,Narkatia,274749,178315,5,Sanjay Kumar,2104,1.2,Independent
12,Narkatia,274749,178315,6,Vidyanand Prasad,1706,1.0,Independent
12,Narkatia,274749,178315,7,Om Prakash Gupta,988,0.6,Janta Dal Rashtravadi
12,Narkatia,274749,178315,8,Mohammad Taiyab,968,0.5,Independent
12,Narkatia,274749,178315,9,Asharfi Pandit,878,0.5,Proutist Sarva Samaj
12,Narkatia,274749,178315,10,Ravi Shankar Ravi,610,0.3,Jan Adhikar Party (Loktantrik)
12,Narkatia,274749,178315,11,Raj Kishor Kumar,398,0.2,Lok Shakti Party (Loktantrik)
12,Narkatia,274749,178315,12,Manish Kumar,388,0.2,Independent
12,Narkatia,274749,178315,13,Umashankar Prasad,299,0.2,Independent
14,Govindganj,257641,148650,1,Sunil Mani Tiwari,65544,44.1,Bharatiya Janta Party
14,Govindganj,257641,148650,2,Brajesh Kumar,37620,25.3,Indian National Congress
14,Govindganj,257641,148650,3,Raju Tiwari,31300,21.1,Lok Jan Shakti Party
14,Govindganj,257641,148650,4,Sarvesh Kumar Tiwari,3301,2.2,Independent
14,Govindganj,257641,148650,5,Viswanath Prasad,3250,2.2,Bahujan Samaj Party
14,Govindganj,257641,148650,6,Ranjay Rai,1990,1.3,Independent
14,Govindganj,257641,148650,7,Vipin Kant Tiwari,1626,1.1,Independent
14,Govindganj,257641,148650,8,Pappu Giri,1616,1.1,Yuva Krantikari Party
14,Govindganj,257641,148650,9,Yuvraj Pandey,1404,0.9,Independent
14,Govindganj,257641,148650,10,Ashok Singh,518,0.4,Independent
14,Govindganj,257641,148650,11,Manoranjan Kumar Mishra,481,0.3,The Plurals Party
15,Kesaria,254671,149796,1,Shalini Mishra,40219,26.9,Janata Dal (United)
15,Kesaria,254671,149796,2,Santosh Kushwha,30992,20.7,Rashtriya Janata Dal
15,Kesaria,254671,149796,3,Ram Sharn Prasad Yadav,18904,12.6,Lok Jan Shakti Party
15,Kesaria,254671,149796,4,Maheshwar Singh,18576,12.4,Rashtriya Lok Samta Party
15,Kesaria,254671,149796,5,Dr. Rajesh Kumar,17729,11.8,Independent
15,Kesaria,254671,149796,6,Rajanish Kumar Pathak,7217,4.8,Jan Adhikar Party (Loktantrik)
15,Kesaria,254671,149796,7,Ravindra Kumar Berwar,3635,2.4,Independent
15,Kesaria,254671,149796,8,Amrendra Kumar Verma,2555,1.7,Independent
15,Kesaria,254671,149796,9,Abhay Kumar Singh,2131,1.4,Bahujan Samaj Party
15,Kesaria,254671,149796,10,Ram Adhar Rai,2020,1.4,Bahujan Nyay Dal
15,Kesaria,254671,149796,11,Rajesh Yadav,1877,1.3,Independent
15,Kesaria,254671,149796,12,Azharuddin Khan,908,0.6,Jan Sangharsh Dal
15,Kesaria,254671,149796,13,Brajesh Mishra,721,0.5,Hindu Samaj Party
15,Kesaria,254671,149796,14,Anu Vivek,619,0.4,The Plurals Party
15,Kesaria,254671,149796,15,Ambesh Kumar Yadav,600,0.4,Rashtriya Janwadi Party (Socialist)
15,Kesaria,254671,149796,16,Krishna Kumar Jaiswal,581,0.4,Rashtra Sewa Dal
15,Kesaria,254671,149796,17,Varun Vijay,512,0.3,Independent
16,Kalyanpur,242101,157670,1,Manoj Kumar Yadav,72819,46.2,Rashtriya Janata Dal
16,Kalyanpur,242101,157670,2,Sachindra Prasad Singh,71626,45.4,Bharatiya Janta Party
16,Kalyanpur,242101,157670,3,Mohammad Badiuzzaman,6367,4.0,Bahujan Samaj Party
16,Kalyanpur,242101,157670,4,Mala Thakur,2006,1.3,Janta Dal Rashtravadi
16,Kalyanpur,242101,157670,5,Rituraj Pandey,1797,1.1,Independent
16,Kalyanpur,242101,157670,6,Rajesh Kumar Singh,1623,1.0,Independent
16,Kalyanpur,242101,157670,7,Muneshwar Tiwari,524,0.3,Independent
16,Kalyanpur,242101,157670,8,Satyam Yadav,478,0.3,Jan Adhikar Party (Loktantrik)
16,Kalyanpur,242101,157670,9,Subodh Kumar Thakur,430,0.3,Bhartiya Vikash Dal United
17,Pipra,319815,194157,1,Shyambabu Prasad Yadav,88587,45.6,Bharatiya Janta Party
17,Pipra,319815,194157,2,Rajmangal Prasad,80410,41.4,Communist Party Of India (Marxist)
17,Pipra,319815,194157,3,Awadhesh Pd Kushwaha,6940,3.6,Independent
17,Pipra,319815,194157,4,Shyam Nandan Kumar,3694,1.9,Independent
17,Pipra,319815,194157,5,Subhash Singh Kushwaha,3243,1.7,Rashtriya Lok Samta Party
17,Pipra,319815,194157,6,Aniket Ranjan,2852,1.5,Rashtriya Jan Jan Party
17,Pipra,319815,194157,7,Md. Mumtaz Alam,2185,1.1,Independent
17,Pipra,319815,194157,8,Ankush Kumar Singh,1233,0.6,Jan Adhikar Party (Loktantrik)
17,Pipra,319815,194157,9,Ashok Kumar Suman,1085,0.6,Independent
17,Pipra,319815,194157,10,Ramchandra Sah,884,0.5,Rashtriya Jansambhavna Party
17,Pipra,319815,194157,11,Tupti Kumari,689,0.4,Janta Dal Rashtravadi
17,Pipra,319815,194157,12,Afzal,671,0.4,Independent
17,Pipra,319815,194157,13,Rani Kumari,572,0.3,Swabhiman Party
17,Pipra,319815,194157,14,Lalit Kumar Singh,557,0.3,Bahujan Mukti Party
17,Pipra,319815,194157,15,Ajay Kumar Shukla,555,0.3,Independent
18,Madhuban,243559,149716,1,Rana Randhir,73179,48.9,Bharatiya Janta Party
18,Madhuban,243559,149716,2,Madan Prasad,67301,45.0,Rashtriya Janata Dal
18,Madhuban,243559,149716,3,Shashi Ranjan Kumar,2639,1.8,Independent
18,Madhuban,243559,149716,4,Shivjee Ray,2082,1.4,Jan Adhikar Party (Loktantrik)
18,Madhuban,243559,149716,5,Shiv Shankar Ray,1251,0.8,Bahujan Samaj Party
18,Madhuban,243559,149716,6,Madan Singh Alias Madan Prasad,902,0.6,Independent
18,Madhuban,243559,149716,7,Vikash Keshari,427,0.3,The Plurals Party
18,Madhuban,243559,149716,8,Rajesh Kumar Singh,417,0.3,Janta Dal Rashtravadi
18,Madhuban,243559,149716,9,Sanjay Tiwari,416,0.3,Bhartiya Aam Janta Vikas Party
18,Madhuban,243559,149716,10,Dinesh Ram,384,0.3,Independent
18,Madhuban,243559,149716,11,Aysa Khatoon,378,0.3,Jan Sangharsh Dal
18,Madhuban,243559,149716,12,Jagdish Prasad,340,0.2,Bajjikanchal Vikas Party
19,Motihari,304765,184100,1,Pramod Kumar,92733,50.4,Bharatiya Janta Party
19,Motihari,304765,184100,2,Om Prakash Chaudhary,78088,42.4,Rashtriya Janata Dal
19,Motihari,304765,184100,3,Deepak Kumar Kushwaha,3716,2.0,Rashtriya Lok Samta Party
19,Motihari,304765,184100,4,Rameshvar Sah,3263,1.8,Independent
19,Motihari,304765,184100,5,Zalaluddin Roy,1847,1.0,Independent
19,Motihari,304765,184100,6,Ashok Kumar,1060,0.6,Jan Sangharsh Dal
19,Motihari,304765,184100,7,Prabhu Nandan Prasad,676,0.4,Janata Party
19,Motihari,304765,184100,8,Munna Kumar,662,0.4,The Plurals Party
19,Motihari,304765,184100,9,Abhishek Kumar Singh,599,0.3,Independent
19,Motihari,304765,184100,10,Harishchandra Pandit,375,0.2,Vanchit Samaj Party
19,Motihari,304765,184100,11,Prakash Chandra Manu,364,0.2,Rashtriya Jan Jan Party
19,Motihari,304765,184100,12,Baiju Kumar,293,0.2,Rashtra Sewa Dal
19,Motihari,304765,184100,13,Ashwini Kumar Gupta,213,0.1,Akhand Bhartiya Yuva Party
19,Motihari,304765,184100,14,Pankaj Kumar Srivastav,211,0.1,Jantantrik Vikas Party
20,Chiraiya,278648,165665,1,Lal Babu Prasad Gupta,62904,38.0,Bharatiya Janta Party
20,Chiraiya,278648,165665,2,Achchhelal Prasad,46030,27.8,Rashtriya Janata Dal
20,Chiraiya,278648,165665,3,Laxmi Narayan Prasad Yadav,16395,9.9,Independent
20,Chiraiya,278648,165665,4,Avaneesh Kumar Singh,11430,6.9,Independent
20,Chiraiya,278648,165665,5,Sanjay Kumar,9273,5.6,Independent
20,Chiraiya,278648,165665,6,Madhurendra Kumar Singh,4518,2.7,Rashtriya Lok Samta Party
20,Chiraiya,278648,165665,7,Prabhash Ranjan Urf Chandan,1923,1.2,Independent
20,Chiraiya,278648,165665,8,Abhinav Bharti,1432,0.9,The Plurals Party
20,Chiraiya,278648,165665,9,Radhakant Sah,1355,0.8,Independent
20,Chiraiya,278648,165665,10,Sudhir Kumar Singh,1255,0.8,Bhartiya Aam Janta Vikas Party
20,Chiraiya,278648,165665,11,Lalsa Devi,1068,0.6,Jan Adhikar Party (Loktantrik)
20,Chiraiya,278648,165665,12,Raj Vanshi Mahato,987,0.6,Independent
20,Chiraiya,278648,165665,13,Hiralal Ray,805,0.5,Independent
20,Chiraiya,278648,165665,14,Sanjay Kumar,789,0.5,Shiv Sena
20,Chiraiya,278648,165665,15,Akhileshwar Kumar,745,0.5,Independent
20,Chiraiya,278648,165665,16,Bhushan Shah,696,0.4,Fauji Kisan Party
20,Chiraiya,278648,165665,17,Mohammad Firoj Ahmad,668,0.4,Jan Sangharsh Dal
20,Chiraiya,278648,165665,18,Vijay Singh,656,0.4,Janta Dal Rashtravadi
20,Chiraiya,278648,165665,19,Pawan Kumar Singh,649,0.4,National People's Party
20,Chiraiya,278648,165665,20,Suresh Kumar,570,0.3,Lok Shakti Party (Loktantrik)
20,Chiraiya,278648,165665,21,Sanjay Kumar Yadav,470,0.3,Independent
20,Chiraiya,278648,165665,22,Usha Rani,464,0.3,Bhartiya Garibmazdoor Party
20,Chiraiya,278648,165665,23,Fahim Hussain,321,0.2,Independent
20,Chiraiya,278648,165665,24,Jalaluddin Ahamad,262,0.2,Rashtriya Jan-Jagran Morcha
21,Dhaka,304398,204875,1,Pawan Kumar Jaiswal,99792,48.7,Bharatiya Janta Party
21,Dhaka,304398,204875,2,Faisal Rahman,89678,43.8,Rashtriya Janata Dal
21,Dhaka,304398,204875,3,Ram Pukar Sinha,10932,5.3,Rashtriya Lok Samta Party
21,Dhaka,304398,204875,4,Md Salim Mansuri,1313,0.6,Independent
21,Dhaka,304398,204875,5,Abhijit Singh,966,0.5,Jan Adhikar Party (Loktantrik)
21,Dhaka,304398,204875,6,Dr. Rajan Jaiswal,875,0.4,The Plurals Party
21,Dhaka,304398,204875,7,Chandradip Kumar,570,0.3,Independent
21,Dhaka,304398,204875,8,Md. Kasim Ansari,499,0.2,Independent
21,Dhaka,304398,204875,9,Ramkrit Paswan,250,0.1,Jan Sangharsh Dal
22,Sheohar,286329,167615,1,Chetan Anand,73143,43.6,Rashtriya Janata Dal
22,Sheohar,286329,167615,2,Md. Sharfuddin,36457,21.8,Janata Dal (United)
22,Sheohar,286329,167615,3,Vijay Kumar Pandey,18748,11.2,Lok Jan Shakti Party
22,Sheohar,286329,167615,4,Radha Kant Gupta,14178,8.5,Independent
22,Sheohar,286329,167615,5,Sanjeev Kumar Gupta,4049,2.4,Bahujan Samaj Party
22,Sheohar,286329,167615,6,Virendra Pra. Yadav,4030,2.4,Independent
22,Sheohar,286329,167615,7,Shrinarayan Singh,3952,2.4,Janta Dal Rashtravadi
22,Sheohar,286329,167615,8,Mohammed Wamique,3415,2.0,Jan Adhikar Party (Loktantrik)
22,Sheohar,286329,167615,9,Sanjay Sangharsh Singh,2934,1.8,Independent
22,Sheohar,286329,167615,10,Angesh Kumar,1489,0.9,Independent
22,Sheohar,286329,167615,11,Ranjeev Kumar Jha,1248,0.7,The Plurals Party
22,Sheohar,286329,167615,12,Sanjay Prasad,1173,0.7,Rashtriya Jansambhavna Party
22,Sheohar,286329,167615,13,Amrendra Kumar,1049,0.6,Bajjikanchal Vikas Party
22,Sheohar,286329,167615,14,Mohamad Mantjir Alam,940,0.6,Rashtriya Secular Majlis Party
22,Sheohar,286329,167615,15,Nathuni Mahto,810,0.5,All India Forward Bloc
23,Riga,295861,178612,1,Moti Lal Prasad,95226,53.3,Bharatiya Janta Party
23,Riga,295861,178612,2,Amit Kumar,62731,35.1,Indian National Congress
23,Riga,295861,178612,3,Munni Singh,4255,2.4,Bahujan Samaj Party
23,Riga,295861,178612,4,Girdhari Sah,2617,1.5,Independent
23,Riga,295861,178612,5,Samsuddin Ansari,2343,1.3,Bahujan Mukti Party
23,Riga,295861,178612,6,Devendra Kumar Sinha,1583,0.9,Independent
23,Riga,295861,178612,7,Chandrika Prasad,1574,0.9,Independent
23,Riga,295861,178612,8,Rambabu Sah S/o-Shri Nathuni Sah,1410,0.8,Nationalist Congress Party
23,Riga,295861,178612,9,Mohan Singh,704,0.4,Rashtriya Janshakti Party (Secular)
23,Riga,295861,178612,10,Abhishek Raja,667,0.4,Independent
23,Riga,295861,178612,11,Ravi Kumar,634,0.4,The Plurals Party
23,Riga,295861,178612,12,Bindeshwar Mahto,630,0.4,Republican Party Of India (Athawale)
23,Riga,295861,178612,13,Ravi Shankar Prasad,623,0.4,Jan Adhikar Party (Loktantrik)
23,Riga,295861,178612,14,Upendra Sahani,618,0.4,Rashtriya Jansambhavna Party
23,Riga,295861,178612,15,Ghufran Asad,565,0.3,Jan Sangharsh Dal
23,Riga,295861,178612,16,Akhilesh Kumar Suman,455,0.3,Samata Party
23,Riga,295861,178612,17,Moti Lal Raut,449,0.3,Independent
23,Riga,295861,178612,18,Brahmdev Nayak,403,0.2,Independent
23,Riga,295861,178612,19,Dilip Kumar Shrivastav,358,0.2,Independent
23,Riga,295861,178612,20,Bindeshwar Sah,297,0.2,Prabal Bharat Party
23,Riga,295861,178612,21,Bharat Patel,246,0.1,Jai Maha Bharath Party
23,Riga,295861,178612,22,"Ram Babu Sah, S/o- Newalal Sah",224,0.1,Independent
24,Bathnaha,288965,165853,1,Anil Kumar,92648,55.9,Bharatiya Janta Party
24,Bathnaha,288965,165853,2,Sanjay Ram,45830,27.6,Indian National Congress
24,Bathnaha,288965,165853,3,Chandrika Paswan,15322,9.2,Rashtriya Lok Samta Party
24,Bathnaha,288965,165853,4,Vijay Kumar Baitha,2890,1.7,Independent
24,Bathnaha,288965,165853,5,Lalu Das,2482,1.5,Independent
24,Bathnaha,288965,165853,6,Ramphl Sada,1865,1.1,Independent
