Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
102,102 - KUCHAIKOTE,1,AMRENDRA KUMAR PANDEY,Janata Dal (United),100926,499,101425,50.21
102,102 - KUCHAIKOTE,2,BALIRAM SINGH,Bahujan Samaj Party,5509,33,5542,2.74
102,102 - KUCHAIKOTE,3,HARI NARAYAN SINGH,Indian National Congress,76561,373,76934,38.08
102,102 - KUCHAIKOTE,4,BRAJ BIHARI BHATT,Janshakti Janta Dal,2023,2,2025,1
102,102 - KUCHAIKOTE,5,VIJAY KUMAR CHOUBEY,Jan Suraaj Party,6012,65,6077,3.01
102,102 - KUCHAIKOTE,6,VISHWAKARMA SHARMA,Jagrook Janta Party,2645,1,2646,1.31
102,102 - KUCHAIKOTE,7,PANKAJ PANDEY,Independent,1584,4,1588,0.79
102,102 - KUCHAIKOTE,8,NOTA,None of the Above,5776,7,5783,2.86
