Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
51,51 - SIKTI,1,DINESH KUMAR ARYA,Aam Aadmi Party,2208,2,2210,1
51,51 - SIKTI,2,BHOLA PRASAD SINGH,Bahujan Samaj Party,3350,7,3357,1.52
51,51 - SIKTI,3,VIJAY KUMAR MANDAL,Bharatiya Janata Party,111182,160,111342,50.56
51,51 - SIKTI,4,JAYNARAYAN SADA,Prism,2201,3,2204,1
51,51 - SIKTI,5,MD RAGHIB,Jan Suraaj Party,3772,17,3789,1.72
51,51 - SIKTI,6,MD SABIR ALAM,Peace Party,2211,0,2211,1
51,51 - SIKTI,7,HARI NARAYAN PRAMANIK,Vikassheel Insaan Party,91808,212,92020,41.78
51,51 - SIKTI,8,SHAMSUL,Independent,1078,0,1078,0.49
51,51 - SIKTI,9,NOTA,None of the Above,2017,1,2018,0.92
