Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
167,167 - SURYAGARHA,1,PREMSAGAR CHOUDHARY,Rashtriya Janata Dal,77831,276,78107,32.75
167,167 - SURYAGARHA,2,RABINDRA KUMAR DAS,Bahujan Samaj Party,1702,7,1709,0.72
167,167 - SURYAGARHA,3,RAMANAND MANDAL,Janata Dal (United),101639,329,101968,42.75
167,167 - SURYAGARHA,4,AMIT SAGAR,Jan Suraaj Party,8386,43,8429,3.53
167,167 - SURYAGARHA,5,SHARVAN KUMAR ANAND,Samata Party,2032,3,2035,0.85
167,167 - SURYAGARHA,6,PRANAY KUMAR,Independent,2075,6,2081,0.87
167,167 - SURYAGARHA,7,RAVISHANKER PRASAD SINGH,Independent,37962,213,38175,16.01
167,167 - SURYAGARHA,8,VIPIN KUMAR,Independent,1545,2,1547,0.65
167,167 - SURYAGARHA,9,NOTA,None of the Above,4449,7,4456,1.87
