Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
12,12 - NARKATIA,1,VISHAL KUMAR,Janata Dal (United),104104,346,104450,46.7
12,12 - NARKATIA,2,SHAMIM AHMAD,Rashtriya Janata Dal,102429,578,103007,46.06
12,12 - NARKATIA,3,LAL BABU PRASAD,Jan Suraaj Party,6949,53,7002,3.13
12,12 - NARKATIA,4,UMAR FAROOQUE,Independent,815,1,816,0.36
12,12 - NARKATIA,5,WASHISHTH PRASAD,Independent,1004,2,1006,0.45
12,12 - NARKATIA,6,MD HARUN RASHID,Independent,1937,0,1937,0.87
12,12 - NARKATIA,7,NOTA,None of the Above,5419,6,5425,2.43
