Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
41,41 - NIRMALI,1,ANIRUDDHA PRASAD YADAV,Janata Dal (United),118513,391,118904,53.28
41,41 - NIRMALI,2,CHANDAN KUMAR,Aam Aadmi Party,2505,5,2510,1.12
41,41 - NIRMALI,3,PRABHU RAM,Bahujan Samaj Party,1339,5,1344,0.6
41,41 - NIRMALI,4,BAIDYANATH MEHTA,Rashtriya Janata Dal,81001,593,81594,36.56
41,41 - NIRMALI,5,GUNSAGAR SAHU,"Proutist Bloc, India",1675,6,1681,0.75
41,41 - NIRMALI,6,RAM PRAVESH KUMAR YADAV,Jan Suraaj Party,6796,81,6877,3.08
41,41 - NIRMALI,7,RAMDEV SUTIHAR,Jagrook Janta Party,1027,0,1027,0.46
41,41 - NIRMALI,8,SIYA RAM MANDAL,Independent,2983,9,2992,1.34
41,41 - NIRMALI,9,NOTA,None of the Above,6235,5,6240,2.8
