Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
131,131 - KALYANPUR,1,MAHESHWAR HAZARI,Janata Dal (United),117964,198,118162,49.3
131,131 - KALYANPUR,2,RANJEET KUMAR RAM,Communist Party of India (Marxist-Leninist) (Liberation),79389,187,79576,33.2
131,131 - KALYANPUR,3,RATNESHWAR RAM,Bahujan Samaj Party,3801,4,3805,1.59
131,131 - KALYANPUR,4,MADHU KRISHNAJI RAM,Socialist Unity Centre Of India (COMMUNIST),2495,2,2497,1.04
131,131 - KALYANPUR,5,RAM BALAK PASWAN,Jan Suraaj Party,16510,64,16574,6.92
131,131 - KALYANPUR,6,OM PRAKASH,Independent,1600,3,1603,0.67
131,131 - KALYANPUR,7,MANTESH KUMAR,Independent,3191,2,3193,1.33
131,131 - KALYANPUR,8,RAJEEV KUMAR,Independent,5630,1,5631,2.35
131,131 - KALYANPUR,9,NOTA,None of the Above,8624,10,8634,3.6
