Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
71,71 - BIHARIGANJ,1,NIRANJAN KUMAR MEHTA,Janata Dal (United),116535,87,116622,52.12
71,71 - BIHARIGANJ,2,RABINDRA KUMAR,Bahujan Samaj Party,2198,1,2199,0.98
71,71 - BIHARIGANJ,3,RENU KUMARI,Rashtriya Janata Dal,84876,124,85000,37.99
71,71 - BIHARIGANJ,4,AMLESH ROY,Jan Suraaj Party,4471,15,4486,2
71,71 - BIHARIGANJ,5,PANKAJ KUMAR JAISWAL,Socialist Unity Centre Of India (COMMUNIST),2491,2,2493,1.11
71,71 - BIHARIGANJ,6,KARN KUMAR MISHRA,Independent,5369,3,5372,2.4
71,71 - BIHARIGANJ,7,MOHAMMAD SAJAM,Independent,1658,1,1659,0.74
71,71 - BIHARIGANJ,8,NOTA,None of the Above,5914,1,5915,2.64
