Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
171,171 - ASTHAWAN,1,JITENDRA KUMAR,Janata Dal (United),90133,409,90542,52.13
171,171 - ASTHAWAN,2,BANVARI KUMAR,Bahujan Samaj Party,1943,3,1946,1.12
171,171 - ASTHAWAN,3,RAVI RANJAN KUMAR,Rashtriya Janata Dal,49579,255,49834,28.69
171,171 - ASTHAWAN,4,DEEPAK KUMAR VIDYARTHI,Socialist Unity Centre Of India (COMMUNIST),1793,1,1794,1.03
171,171 - ASTHAWAN,5,LATA SINGH,Jan Suraaj Party,15874,88,15962,9.19
171,171 - ASTHAWAN,6,HIMANSHU KUMAR PASWAN,Aazad Samaj Party (Kanshi Ram),4748,7,4755,2.74
171,171 - ASTHAWAN,7,SHABNAM LATA,Independent,2313,3,2316,1.33
171,171 - ASTHAWAN,8,NOTA,None of the Above,6541,9,6550,3.77
