Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
69,69 - KORHA,1,KAVITA DEVI,Bharatiya Janata Party,123375,120,123495,51.82
69,69 - KORHA,2,PUNAM KUMARI,Indian National Congress,101052,186,101238,42.48
69,69 - KORHA,3,RAVINDRA KUMAR,Bahujan Samaj Party,1466,3,1469,0.62
69,69 - KORHA,4,TUFANI DAS,Peoples Party of India (Democratic),913,1,914,0.38
69,69 - KORHA,5,NIRMAL KUMAR RAJ,Jan Suraaj Party,3992,36,4028,1.69
69,69 - KORHA,6,KAPILDEV PASWAN,Independent,1398,7,1405,0.59
69,69 - KORHA,7,WAKIL DAS,Independent,1229,19,1248,0.52
69,69 - KORHA,8,VINOD KUMAR MIRDHA,Independent,1345,1,1346,0.56
69,69 - KORHA,9,NOTA,None of the Above,3158,4,3162,1.33
