Constituency_Number,Constituency_Name,Serial_No,Candidate,Party,EVM_Votes,Postal_Votes,Total_Votes,Percentage
55,55 - KOCHADHAMAN,1,BINA DEVI,Bharatiya Janata Party,44765,93,44858,23.2
55,55 - KOCHADHAMAN,2,MUJAHID ALAM,Rashtriya Janata Dal,58431,408,58839,30.44
55,55 - KOCHADHAMAN,3,RAJESH KUMAR BAITHA,Bahujan Samaj Party,1565,0,1565,0.81
55,55 - KOCHADHAMAN,4,ABU AFFAN FAROOQUEE,Jan Suraaj Party,1969,7,1976,1.02
55,55 - KOCHADHAMAN,5,MD. SARWAR ALAM,All India Majlis-E-Ittehadul Muslimeen,81678,182,81860,42.34
55,55 - KOCHADHAMAN,6,MD. SHAMSUL HAQUE,Independent,2187,1,2188,1.13
55,55 - KOCHADHAMAN,7,NOTA,None of the Above,2039,0,2039,1.05
